key,title,description,estimated-cost,acceptance-criteria,priority,link,key:manager,draft-mode
user-story-01,Enhancing User Experience with Personalized Dashboards,"Customize your dashboard for a tailored experience in the web, improve the UX of the app experiences",100,User can select widgets; settings saved & applied instantly across devices independently of OS used.,MUST,ftp://a.b,manager-01,true
user-story-02,Streamlining Checkout for Faster Online Purchases by implementing UI system,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore*",50,"Checkout <4 clicks, <2 sec load, autofill, clear cost, multiple payments, instant email confirmation",SHOULD,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",manager-01,true
user-story-03,Mobile App Notifications to Keep Users Informed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore",50,Criteria to be defined,COULD,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",manager-01,false
user-story-04,貸んい建濯よ芝弾テソ,Lo,2147483646,Criteria to be defined,WONT,http://www.thisisaverylongexampleurlthatdoesnotactuallyleadanywherespecificallydesignedtobeexactlytwohundredandfiftyfivecharacterslongincludingthehttpwwwparttoseehowitlooksandfeelsinpracticeabcdefg1234567890abcdefghijklmnopqrstuvwxyzletsgetto255chars.html,manager-01,false
user-story-05,Advanced Search Filters for Efficient Navigation,L,2147483647,貸んい建濯よ芝弾テソ,MUST,ftp://a,manager-01,true
user-story-06,-,Track your finance,33,Criteria to be defined,SHOULD,http://www.козаоза.org,manager-01,true
user-story-07,Interactive Tutorials for New Users,Learn the ropes with interactive guides,80,Criteria to be defined,MUST,http://example.org?a&b,manager-01,true
user-story-08,Real-Time Collaboration Tools for Teams,"Collaborate in real time, anywhere.",1,L,MUST,http://example.org/,manager-01,true
user-story-09,Feedback System for Continuous Improvement,Share your thoughts for app enhancements,10,Lo,MUST,http://example.org/a,manager-01,true
user-story-10,Accessibility Features for All Users,Making technology accessible to everyone.,50,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore",MUST,http://example.org/a/b,manager-02,false
user-story-11,Seamless Cross-Platform Synchronization for Users,Simplifying navigation with intuitive design updates.,49,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore*",SHOULD,http://www.example.org,manager-02,true
user-story-12,Dynamic Content Recommendation Engine,Command your app without lifting a finger,1,<h1>!</h1>,COULD,http://example.org/a/b?,manager-02,false
user-story-13,Effortless File Sharing and Management System,<h1>!</h1>,2,' or 'A'='A,MUST,http://www.example.org,manager-02,true
user-story-14,L,' or 'A'='A,98,коза коза,WONT,http://example.org/a/b?a&b,manager-02,true
user-story-15,коза коза,국민경제의 발전을,999,국민경제의 발전을,MUST,http://www.acme.org/moreInfo,manager-02,true
user-story-16,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tem",Choose sustainable options for a greener future.,745,العظمى واعتلاء,MUST,,manager-02,true
user-story-17,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod te",коза коза,100,Criteria to be defined,SHOULD,http://建濯よ.com,manager-02,true
user-story-18,Lo,貸んい建濯よ芝弾テソ,50,Criteria to be defined,MUST,null,manager-02,true
